number,achieve'money,change(%)
2210965,49159276,0.5527
12554441,286871101,3.1386
2458753,54578878,0.6147
1353710,29982151,0.3384
1568646,34534981,0.3922
1626272,35661420,0.4066
1096095,24077999,0.274
1529235,33380522,0.3823
1074053,23650722,0.2685
1161400,25392517,0.2903
1068909,23145756,0.2672
883124,19114460,0.2208
1165070,24969543,0.2913
873913,18717995,0.2185
933890,20057856,0.2335
1026204,22405627,0.2566
1603476,35138382,0.4009
2027908,44631689,0.507
2377884,51253165,0.5945
2058424,43904339,0.5146
1581135,33756907,0.3953
2993705,63165390,0.7484
3559698,73447990,0.8899
1580469,32630834,0.3951
1720947,35484295,0.4302
1309302,26983973,0.3273
975711,20203054,0.2439
1249087,25943792,0.3123
1489538,30987545,0.3724
1817470,37608499,0.4544
2820040,57468886,0.705
3248013,64770868,0.812
1988969,39763166,0.4972
1673179,33782550,0.4183
1768426,36399578,0.4421
1275022,25962843,0.3188
1561962,31316733,0.3905
1079720,21595328,0.2699
815470,16578722,0.2039
1037946,21262379,0.2595
1703314,35318752,0.4258
971415,19898237,0.2429
819473,16415700,0.2049
481485,9674079,0.1204
987205,19708141,0.2468
920482,18415509,0.2301
951734,19226509,0.2379
438181,8874663,0.1095
582350,11701547,0.1456
620891,12397055,0.1552
694500,13850522,0.1736
555875,11132067,0.139
746591,14945228,0.1866
1513830,29523311,0.3785
1039340,19978477,0.2598
1478539,28504557,0.3696
1329856,26772192,0.3325
539231,10673526,0.1348
386549,7654106,0.0966
455490,9076085,0.1139
3707893,75987512,0.927
1061378,21696732,0.2653
737981,14895132,0.1845
840701,17236731,0.2102
4019558,83814115,1.0049
2526928,52826140,0.6317
733775,15208786,0.1834
882664,18061324,0.2207
1198816,24887348,0.2997
891489,18387075,0.2229
764968,15745511,0.1912
754776,15417353,0.1887
950910,19534879,0.2377
2645831,55349675,0.6615
2594767,54947946,0.6487
1656800,34626387,0.4142
888194,18454152,0.222
1243276,25820150,0.3108
1238207,25821807,0.3096
1554661,32672673,0.3887
1067598,22369827,0.2669
2246403,47813574,0.5616
1933400,40999834,0.4834
2968245,63438729,0.7421
1180372,24921874,0.2951
1262361,26938192,0.3156
808744,17096657,0.2022
822241,17471057,0.2056
1629600,34827620,0.4074
1625921,34538579,0.4065
1154418,24410993,0.2886
1731868,36726808,0.433
1918880,40340952,0.4797
1705579,35504749,0.4264
1727365,35655445,0.4318
1495361,30859238,0.3738
1724357,35135845,0.4311
807128,16513897,0.2018
1186933,24058101,0.2967
1454180,29090573,0.3635
1110585,22352068,0.2776
635695,12818495,0.1589
882476,17687800,0.2206
1010400,20214510,0.2526
551907,11102764,0.138
669078,13444568,0.1673
1024419,20699624,0.2561
807363,16399546,0.2018
1265016,25795811,0.3163
830092,16869883,0.2075
