number,achieve'money,change(%)
4103578,36734615,0.456
2783684,25006688,0.3093
5522790,49234957,0.6136
4592451,39748076,0.5103
5413915,47744292,0.6015
3789142,34001062,0.421
1944234,17264166,0.216
5199466,45090311,0.5777
2334539,20411952,0.2594
2089016,18496549,0.2321
1844727,16242536,0.205
1338771,11812377,0.1488
2274695,19947545,0.2527
1971065,17157688,0.219
2225304,19505465,0.2473
2339384,20624771,0.2599
4071487,36526340,0.4524
4682893,42340310,0.5203
2432753,22011366,0.2703
5195063,47906371,0.5772
2115935,19332720,0.2351
1667455,15188349,0.1853
2084912,19164267,0.2317
3254750,29171079,0.3616
1535409,13736870,0.1706
3951346,35714597,0.439
6611458,61272406,0.7346
5231582,49289262,0.5813
5030635,47760920,0.559
4732985,44680134,0.5259
1648925,15408682,0.1832
6291053,58349299,0.699
4107890,37731058,0.4564
5690128,52920953,0.6322
3836087,35657473,0.4262
3989979,36394956,0.4433
2611690,23951809,0.2902
2754688,25289665,0.3061
2533416,22834717,0.2815
11814645,102461824,1.3127
17175554,144934182,1.9084
3257437,27768097,0.3619
3732068,31796684,0.4147
3379770,28801075,0.3755
2825063,24454850,0.3139
1701350,14702297,0.189
2903906,24722749,0.3227
6831418,59180621,0.759
2629925,22987939,0.2922
1947104,16857138,0.2163
3998644,35126235,0.4443
2780545,24377341,0.3089
2023047,17821654,0.2248
3303080,28678412,0.367
1282442,11043239,0.1425
1123684,9654013,0.1249
664638,5709844,0.0738
916066,7827559,0.1018
887871,7577548,0.0987
2739625,23869024,0.3044
1726950,14789303,0.1919
1485162,12568546,0.165
1592103,13519798,0.1769
1789010,15027949,0.1988
1026625,8679640,0.1141
970753,8206046,0.1079
1444060,12121078,0.1605
1584728,13166506,0.1761
1528336,12590844,0.1698
3487330,29391894,0.3875
8053534,69950245,0.8948
7567341,66845572,0.8408
9266388,82660506,1.0296
12815210,117443730,1.4239
8273645,76015299,0.9193
11068384,99731970,1.2298
3913584,35207015,0.4348
18114756,166141824,2.0128
7165625,63020815,0.7962
3466404,30226083,0.3852
4863966,41973870,0.5404
5003787,42357804,0.556
4468672,37447262,0.4965
4207266,35716684,0.4675
3977938,33082005,0.442
6078360,50544452,0.6754
4694806,38725932,0.5216
4418133,36406243,0.4909
4770826,38441859,0.5301
3090679,25079799,0.3434
6985702,55134597,0.7762
19836816,148185977,2.2041
6933176,50815135,0.7704
6279982,46247575,0.6978
6300211,45397926,0.7
4690771,34725759,0.5212
6490261,48622609,0.7211
26201748,198562723,2.9113
5885139,43113220,0.6539
3630291,26677127,0.4034
4636116,34696148,0.5151
3346076,25152313,0.3718
1788787,13240403,0.1988
1261243,9362670,0.1401
1338579,9941157,0.1487
7398625,56250511,0.8221
9554944,73345074,1.0617
3293654,25042839,0.366
4362296,33016151,0.4847
3045432,23166815,0.3384
3845509,29000698,0.4273
3021431,22657014,0.3357
3814125,29073909,0.4238
2936661,22448363,0.3263
2693618,20402528,0.2993
2310434,17454238,0.2567
5966360,44280072,0.6629
3213983,23844163,0.3571
2821425,20787258,0.3135
4494651,32610634,0.4994
2122016,15361796,0.2358
2371702,17150625,0.2635
2457500,17833825,0.2731
2381449,17189928,0.2646
2576985,18812666,0.2863
2258555,16589586,0.251
9335367,69653577,1.0373
3383715,24953978,0.376
2337451,16984618,0.2597
2884815,20823429,0.3205
3714849,26695527,0.4128
6392302,46402256,0.7103
3115105,22434471,0.3461
3154276,22458008,0.3505
3209622,22544414,0.3566
3662762,25808863,0.407
11047680,79628373,1.2275
3612355,25833328,0.4014
2807350,19805053,0.3119
1443095,10126874,0.1603
1917295,13435765,0.213
2873186,20068905,0.3192
2410280,16965807,0.2678
3808939,26134943,0.4232
5225244,35366812,0.5806
4298099,28758188,0.4776
4362864,29239203,0.4848
7115260,48798404,0.7906
6895175,48039155,0.7661
2797449,19447653,0.3108
1284827,8976785,0.1428
1731048,12108769,0.1923
2620773,17915004,0.2912
1595810,10850994,0.1773
1029390,7012405,0.1144
2110578,14179068,0.2345
41373685,301114578,4.5971
46750809,354408749,5.1945
26795282,199832479,2.9773
16230795,121820602,1.8034
10807964,79769208,1.2009
10411141,76324984,1.1568
7662588,56486895,0.8514
11425747,85592035,1.2695
23907135,185036797,2.6563
13777103,107341372,1.5308
24170398,193803658,2.6856
12718644,103754859,1.4132
11567381,91256499,1.2853
8091909,63433347,0.8991
16836948,135085473,1.8708
10303731,83261350,1.1449
15373692,122679639,1.7082
10186950,80685429,1.1319
11473412,92202704,1.2748
17437898,134889710,1.9375
10923806,83419920,1.2138
8816526,67194470,0.9796
6280369,48212865,0.6978
5081789,38936484,0.5646
2820119,21550382,0.3133
13132370,100581889,1.4592
13185015,100633602,1.465
8327402,62900907,0.9253
5857911,43556308,0.6509
7078072,52037534,0.7865
7673443,55396382,0.8526
5149329,36970616,0.5721
6391094,46011353,0.7101
5324245,38311019,0.5916
3563612,25778043,0.396
8944807,62292167,0.9939
7414511,51033624,0.8238
3545568,24397976,0.394
3001194,20615658,0.3335
2939536,20095113,0.3266
3402241,23714038,0.378
4291345,29186661,0.4768
3931193,26732458,0.4368
11241105,79699703,1.249
6307488,44421244,0.7008
2592209,18154521,0.288
8359947,58954003,0.9289
19389902,144194862,2.1544
9944030,74082481,1.1049
13710959,103726958,1.5234
6487965,48161072,0.7209
9362555,70623287,1.0403
5557779,41433005,0.6175
5800936,41724880,0.6445
5018412,35882240,0.5576
6236536,44708509,0.6929
7575599,52688938,0.8417
3752665,26042544,0.417
5556212,38544360,0.6174
5392059,37610599,0.5991
3460699,24307854,0.3845
N/A,N/A,N/A
9931767,67456888,1.1035
9139436,64085407,1.0155
4408800,30718633,0.4899
4906741,34352596,0.5452
5528335,39284904,0.6143
5417447,37299138,0.6019
3851960,26414086,0.428
2142917,14681296,0.2381
2998401,20854795,0.3332
3810065,26305774,0.4233
3516137,24514513,0.3907
2262277,15856621,0.2514
6916601,47395137,0.7685
3153400,21545402,0.3504
3138564,21502729,0.3487
3225307,21877983,0.3584
2640297,17811006,0.2934
1925565,12963385,0.214
2830609,19085274,0.3145
3505447,23185315,0.3895
6671163,43401317,0.7412
5352560,35349800,0.5947
2844598,18798751,0.3161
3411887,22862994,0.3791
15688482,111514627,1.7432
13193641,93936972,1.466
15026148,108637646,1.6696
5960992,42343805,0.6623
5462977,38853931,0.607
4128872,28871160,0.4588
22167968,160863250,2.4631
18757743,139194754,2.0842
20977800,158857866,2.3309
14459212,110123171,1.6066
13254828,101701859,1.4728
8828622,67430111,0.981
13268322,100290545,1.4743
11766990,91111077,1.3074
N/A,N/A,N/A
6014257,45370192,0.6683
7203510,54111161,0.8004
4708699,34712681,0.5232
3088082,22746002,0.3431
2578288,19124044,0.2865
2213015,16486309,0.2459
2141629,15802511,0.238
2701700,19694555,0.3002
3503062,25864829,0.3892
19593121,152436054,2.177
5927949,46024469,0.6587
4311603,33606705,0.4791
7077735,55326580,0.7864
6364091,49897040,0.7071
11374754,90902951,1.2639
6399088,50860696,0.711
6385812,50054391,0.7095
22837453,186835577,2.5375
11844469,97962531,1.3161
15365974,128993080,1.7073
8542881,70448120,0.9492
8013954,66661753,0.8904
7348761,60892384,0.8165
9984427,81689127,1.1094
7460333,60894791,0.8289
8978781,74223519,0.9976
4328095,35498124,0.4809
12131598,101761843,1.348
9471235,80729729,1.0524
6933680,58534327,0.7704
9212643,79530996,1.0236
12860921,112634121,1.429
10541606,91160842,1.1713
7847637,67129461,0.872
14383690,124215914,1.5982
10459260,88329100,1.1621
12057470,101216406,1.3397
7468820,62248103,0.8299
4500547,37599886,0.5001
4710632,39126190,0.5234
14006946,118450102,1.5563
4808048,40836804,0.5342
4241434,36157539,0.4713
5049393,43020551,0.561
2479102,20966285,0.2755
4441681,37564089,0.4935
9449271,80695688,1.0499
5372311,46204724,0.5969
3759295,32340975,0.4177
5841998,49442814,0.6491
5514375,46284863,0.6127
6438506,54569995,0.7154
4444760,37956664,0.4939
6682812,57566331,0.7425
3485357,29959865,0.3873
11114345,98245236,1.2349
3484533,30766146,0.3872
6243593,55839621,0.6937
3907560,34721926,0.4342
4259478,37115666,0.4733
4992021,42857445,0.5547
7124579,59009113,0.7916
3484359,28601992,0.3872
2286928,18789356,0.2541
4016103,32556089,0.4462
N/A,N/A,N/A
2628398,21531847,0.292
2797708,23085073,0.3109
2750673,22955142,0.3056
3148273,26506446,0.3498
5283270,44686129,0.587
5860461,49975242,0.6512
3570425,29828744,0.3967
2492600,20553545,0.277
3429863,28257383,0.3811
6562183,54950849,0.7291
12191807,105435331,1.3546
10356735,91515522,1.1507
3299787,28581111,0.3666
3074594,26511654,0.3416
7013870,58925447,0.7793
4630403,38495084,0.5145
5949774,48966396,0.6611
6899218,58851514,0.7666
4701264,40327973,0.5224
3621710,31028751,0.4024
12262071,101010141,1.3625
5142918,42467039,0.5714
4544095,37072095,0.5049
4053003,33128422,0.4503
5312110,44402074,0.5902
4697145,39125010,0.5219
2276691,18936526,0.253
3261569,26624327,0.3624
2861591,23467520,0.318
2118236,17393650,0.2354
749924,6206098,0.0833
8250991,70520339,0.9168
3259821,27997141,0.3622
1884699,16094556,0.2094
2115413,18093315,0.235
6103647,53217287,0.6782
2618343,22823250,0.2909
3334759,28901045,0.3705
3678993,31662355,0.4088
7289705,64136296,0.81
9582334,83642626,1.0647
4852125,42477944,0.5391
3746580,32822851,0.4163
6082122,53779876,0.6758
4131278,36618901,0.459
5788464,51420588,0.6432
9538154,85616457,1.0598
6895484,62949105,0.7662
3555837,32313700,0.3951
13355800,124384752,1.484
7365001,68975184,0.8183
6410581,59789714,0.7123
6892378,63943276,0.7658
7726916,73268970,0.8585
14293211,138837743,1.5881
5797754,56015710,0.6442
6101095,59440106,0.6779
12223038,121252936,1.3581
7514747,73368577,0.835
7587935,73251074,0.8431
7646679,74657270,0.8496
12161086,119469673,1.3512
16333311,165103159,1.8148
17738143,182986497,1.9709
18643249,197474279,2.0715
16893784,178273619,1.8771
14359288,150867109,1.5955
9324485,98489440,1.0361
5809495,61703693,0.6455
13645384,143970519,1.5162
13324430,135484511,1.4805
11669183,119622737,1.2966
13345795,143602593,1.4829
18536392,206775418,2.0596
8763607,97014215,0.9737
9016473,99328171,1.0018
8788954,96183106,0.9766
8889999,99644938,0.9878
12883485,148362076,1.4315
9365770,106186083,1.0406
14060859,159914037,1.5623
12490317,137711663,1.3878
11688400,128171973,1.2987
6706804,73352775,0.7452
4661187,51520948,0.5179
N/A,N/A,N/A
18192937,205399704,2.0214
18901164,217363536,2.1001
13568843,159012145,1.5076
18702602,221343885,2.0781
13608004,161577122,1.512
11461056,135890783,1.2735
31550407,382497067,3.5056
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
39108134,431466008,4.3453
14228701,154828502,1.581
9405369,103301046,1.045
13176400,141504882,1.464
11983188,128280964,1.3315
13932965,151633366,1.5481
9973317,107951156,1.1081
18513454,198599027,2.0571
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
141086876,1440361974,12.0587
96122958,953713066,8.2156
59934300,598558422,5.1226
41870880,423601514,3.5787
27624154,274454639,2.361
38371668,385374475,3.2796
39559685,392515472,3.3812
31431833,301907071,2.6865
63265236,630375075,5.4073
21290257,212250209,1.8197
38097532,388038266,3.2562
23072705,234922182,1.972
N/A,N/A,N/A
23088939,231921364,1.9734
37300910,381494338,3.1881
21784421,218102924,1.8619
20945891,204968449,1.7902
14111400,138501293,1.2061
30484124,285499597,2.6055
28827790,255188040,2.4639
13280880,117501561,1.1351
20202863,181273634,1.7267
12575493,112568316,1.0748
8445273,73656974,0.7218
N/A,N/A,N/A
20410089,186907784,1.7445
17339098,158722793,1.482
16911271,158916678,1.4454
15804527,148502489,1.3508
15897260,153058455,1.3587
20856039,203519283,1.7826
16914469,168421551,1.4457
9602294,94305734,0.8207
4922955,48066544,0.4208
14137842,140094824,1.2084
12807370,127079246,1.0946
31213276,316881551,2.6678
19395342,197098694,1.6577
15609147,152822154,1.3341
8832785,86035418,0.7549
14914648,143123587,1.2748
13254921,127925912,1.1329
11248288,109320166,0.9614
11362204,111085764,0.9711
18304398,171802089,1.5645
12187752,114498690,1.0417
5623536,52357014,0.4806
4215610,39236373,0.3603
5370469,49774081,0.459
4441253,41202571,0.3796
7977284,74979889,0.6818
6312648,59374431,0.5395
8795141,82844018,0.7517
7207959,67096545,0.6161
7212810,66774157,0.6165
9094381,82472509,0.7773
9749117,86585364,0.8333
7003191,61438529,0.5986
8369825,72844215,0.7154
5591102,49219342,0.4779
7979602,71052698,0.682
6161758,55051546,0.5266
6154100,55606187,0.526
6886461,63010689,0.5886
8943026,82266348,0.7644
5302504,48970172,0.4532
8531982,79422877,0.7292
5796713,53909101,0.4954
17272308,164781437,1.4763
5217410,48965456,0.4459
4202605,39386923,0.3592
6363288,58718215,0.5439
13500866,129935498,1.1539
14139008,137601073,1.2085
8497881,81807114,0.7263
8979617,86474045,0.7675
31775066,313637786,2.7158
21214917,210369521,1.8132
7647723,74261706,0.6537
18247537,180512791,1.5596
11636486,112122257,0.9946
8308782,80723488,0.7102
34856563,347027726,2.9792
18989898,189559669,1.6231
21914198,222454835,1.873
20866214,212700530,1.7834
37118103,389534633,3.1725
24688700,261186355,2.1101
22298885,238950713,1.9059
19488791,204838876,1.6657
20007174,210634149,1.71
29150612,298177357,2.4915
17651698,184255754,1.5087
20907818,220216902,1.787
29120047,316031725,2.4889
43161270,470402950,3.689
28390852,294081227,2.4266
24276934,247257686,2.075
10569417,108499373,0.9034
12417245,129735652,1.0613
12880046,136410586,1.1009
55313295,624985469,4.7276
47071048,559590752,4.0232
17081663,202408757,1.46
25166300,308713593,2.151
18680347,229889353,1.5966
21050126,261088582,1.7992
20069153,241956049,1.7153
22833293,285080854,1.9516
16160361,207289691,1.3812
22965676,302716071,1.9629
17718301,231064355,1.5144
13676487,177477319,1.1689
30902058,423501758,2.6412
19652890,271461261,1.6797
26518456,374728226,2.2665
16429575,220809463,1.4042
12286942,169324981,1.0502
18581729,253634645,1.5882
16660336,221850568,1.424
16860677,228929572,1.4411
14985909,203036697,1.2808
23637766,330841871,2.0203
11990093,168779456,1.0248
22086820,322082949,1.8878
36942113,564043757,3.1574
30453877,453618928,2.6029
24735546,367146056,2.1141
27713974,415689393,2.3687
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
44171226,704560902,3.7753
17877754,295932910,1.528
16607070,266556842,1.4194
17435254,272731774,1.4902
13576886,213859057,1.1604
14621764,231550272,1.2497
30530845,499665472,2.2917
22067907,367712705,1.6564
29035030,493862658,2.1794
23547492,411883644,1.7675
23504352,399219742,1.7642
26170088,457410975,1.9643
22125894,371413312,1.6608
20837233,345346584,1.564
17400793,299654415,1.3061
25551184,437861352,1.9179
15818192,268312210,1.1873
22487599,388434896,1.6879
23940857,430200017,1.797
18424502,328622822,1.3829
16769286,294361164,1.2587
22173995,387990454,1.6644
21280295,368453488,1.5973
32943083,600668673,2.4727
22223575,406350047,1.6681
19918132,375930256,1.4951
26629082,538674517,1.9988
28122105,590078196,2.1109
50889423,1140841332,3.8198
35705586,731193744,2.6801
25488876,536486642,1.9132
32961946,727041435,2.4741
35276836,835770406,2.6479
22885931,539765626,1.7178
23214839,530396018,1.7425
22822883,531447017,1.7131
20194184,482029079,1.5158
29217135,675729809,2.193
35345006,757789604,2.653
29665178,648033867,2.2267
42172602,951104479,3.1655
49135174,1153187734,3.6881
35293836,888134792,2.6492
28607594,712294861,2.1473
37171143,923308222,2.7901
37450598,1004420838,2.8111
38850850,1058672423,2.9162
28116984,706809066,2.1105
17513926,433256874,1.3146
19908988,469396335,1.4944
27238656,602569888,2.0445
51905083,1106462258,3.896
40171146,955208156,3.0153
16733808,394562661,1.256
16164196,371689952,1.2133
14591761,344341832,1.0953
10915882,269236665,0.8193
13027003,329045312,0.9778
13538672,347162421,1.0162
22428437,577652794,1.6835
25443200,618668353,1.9098
38947514,888689655,2.9234
33259504,723169209,2.4965
23479344,519813961,1.7624
23813051,519961444,1.7874
18028659,391029638,1.3532
54548408,1258243370,4.0944
33933759,806532046,2.5471
12381372,297040412,0.9293
30502367,755063710,2.2895
18958375,456775542,1.423
11112101,261747678,0.8341
22463611,513658993,1.6861
20424123,481691581,1.533
15951567,375527411,1.1973
52066922,1296068935,3.9082
23330989,584530598,1.7512
44885888,1165559203,3.3691
35092814,916545901,2.6341
26949283,701313536,2.0228
21400020,544772393,1.6063
14578229,369905287,1.0942
28743262,742866940,2.1575
44359405,1201515129,3.3296
15177231,404854224,1.1392
21770870,600207919,1.6341
21533912,604051800,1.6163
15760425,447646289,1.183
22958503,669339971,1.7233
18005075,512347694,1.3515
14271056,408229264,1.0712
26017270,752679689,1.9529
25163640,771762675,1.8888
17199263,522299149,1.291
15622050,468053902,1.1726
15457989,467046416,1.1603
17107981,509842892,1.2841
24383468,702824611,1.8302
26114851,728938077,1.9602
21106449,587467712,1.5843
30839757,866601524,2.3148
20434018,574588418,1.5338
27323654,785730871,2.0509
23952562,680260521,1.7979
36034578,992321502,2.7048
38233396,1032084070,2.8698
33396821,928821963,2.5068
49209778,1393245067,3.6937
50266225,1495535218,3.773
36052675,1035437965,2.7061
100748951,2978927340,3.0899
58289812,1630495102,1.7877
37464294,1025414790,1.149
44878325,1246494379,1.3764
26381001,736407480,0.8091
43843532,1201268581,1.3446
N/A,N/A,N/A
44395249,1230950959,1.3616
80170641,2319589711,2.4588
51826483,1554968634,1.5895
30105810,900981764,0.9233
26523101,790065091,0.8134
75672176,2285771577,2.3208
64970139,2137173965,1.9926
47105149,1628216248,1.4447
28244445,921965322,0.8662
32927634,1032631545,1.0099
23667784,756290884,0.7259
25528932,845447236,0.7829
27281788,862057715,0.8367
39819754,1250200089,1.2212
31092844,987881351,0.9536
37874684,1271766586,1.1616
34005304,1152513035,1.0429
42709868,1527175443,1.3099
44706972,1681089843,1.3711
22555888,844027760,0.6918
14451676,520952735,0.4432
23568220,850195407,0.7228
22301678,835928071,0.684
35397745,1363149318,1.0856
19987868,738655771,0.613
20284861,766207377,0.6221
12820493,492407709,0.3932
16504962,608470558,0.5062
16498323,583619326,0.506
9648466,344585967,0.2959
10904951,379273283,0.3344
6832390,230506494,0.2095
10594853,353114939,0.3249
12629936,441856861,0.3873
13190725,483763470,0.4045
9996638,361046348,0.3066
11856632,439049313,0.3636
4255087,154553867,0.1305
5276987,187154309,0.1618
11511407,408278048,0.353
28091673,1046802127,0.8615
14784355,549218060,0.4534
47157515,1857477786,1.4463
25321222,1059717931,0.7766
18791274,779881180,0.5763
11948457,506574563,0.3664
13373861,555125192,0.4102
16358551,659186177,0.5017
16741824,682262479,0.5135
21269536,854468887,0.6523
21684984,893684280,0.6651
17889307,745423595,0.5486
27246698,1191030576,0.8356
15358731,687913842,0.471
15166548,673636728,0.4651
18940721,845227662,0.5809
16862517,762811470,0.5172
14609619,649342185,0.4481
25180195,1124867194,0.7723
27015512,1213264505,0.8285
14358490,654710383,0.4404
10520351,473064345,0.3226
24239321,1045747429,0.7434
18949998,844140370,0.5812
23616547,1087791321,0.7243
28128807,1380210509,0.8627
23977311,1177694906,0.7354
29315517,1522120373,0.8991
21076067,1115212620,0.6464
17800153,932699295,0.5459
12221243,640748789,0.3748
12670224,671902543,0.3886
16234727,877873869,0.4979
17106317,964030781,0.5246
18761354,1023684649,0.5754
11566202,616621757,0.3547
20368876,1086269515,0.6247
11463306,600798439,0.3516
10762526,565722048,0.3301
11127876,582538645,0.3413
14714094,738440277,0.4513
14083397,719145524,0.4319
15454692,792713771,0.474
29377560,1523957007,0.901
12699443,634541705,0.3895
7887561,393273697,0.2419
11679299,584244593,0.3582
18306896,885289704,0.5615
16721579,833761485,0.5128
8127588,404894888,0.2493
20993601,1053049326,0.6439
19196301,962812663,0.5887
17610910,909139075,0.5401
19318695,1058083327,0.5925
8659777,479151473,0.2656
11287325,626077738,0.3462
23066545,1276419893,0.7074
14446251,798876308,0.4431
18001944,986766512,0.5521
18458313,1022340977,0.5661
29038986,1618539784,0.8906
13978326,733317435,0.4287
14547765,751472608,0.4462
11464860,587169613,0.3516
16396122,861660868,0.5029
16605823,910689550,0.5093
14387344,798588747,0.4412
18588447,1067796229,0.5701
16502801,977300208,0.5061
11798013,677787296,0.3618
15524024,888058746,0.4761
8809528,521822286,0.2702
5471875,317960348,0.1678
7040360,396680211,0.2159
8172578,447091191,0.2506
5933329,325132921,0.182
10238870,555462937,0.314
12911609,688680417,0.396
22198682,1205325845,0.6808
6417992,348052799,0.1968
10565337,560339757,0.324
7462501,407939678,0.2289
4546713,242119903,0.1394
9025346,460773697,0.2768
11077376,550584839,0.3397
8268485,418880329,0.2536
13190065,632840515,0.4045
5425215,258000275,0.1664
10679048,523872708,0.3275
3035898,145281214,0.0931
2899121,139229730,0.0889
13352505,668233249,0.4095
10572837,545344419,0.2988
11270170,604925243,0.3185
6011933,323908623,0.1699
5650915,304709632,0.1597
10417811,576047927,0.2944
4858439,269477011,0.1373
16582670,895458086,0.4687
13399686,709026329,0.3787
28344562,1416598900,0.8011
19745279,972684509,0.5581
16067695,783049446,0.4541
17529659,829349453,0.4954
11097913,514131940,0.3137
7529688,354723705,0.2128
9892920,483544375,0.2796
15445088,765534535,0.4365
13683223,681755914,0.3867
13629272,686450071,0.3852
16640349,838426988,0.4703
25108780,1266810703,0.7096
15360960,806731130,0.4341
13158390,709842234,0.3719
21134656,1065804744,0.5973
13924967,729358831,0.3936
22804301,1268890662,0.6445
16125531,915188667,0.4558
10251092,583029083,0.2897
21796625,1247290770,0.616
23154421,1375414621,0.6544
14291839,862987466,0.4039
16122152,970708427,0.4557
17525343,991515867,0.4953
10867462,602747419,0.3071
8324602,472590898,0.2353
7627779,420300233,0.2156
23733067,1223597323,0.6708
14244878,740609893,0.4026
10984110,564173177,0.3104
22425769,1165320929,0.6338
7182551,365474362,0.203
5717212,285539841,0.1616
14854295,714334639,0.4198
12897549,596205118,0.3645
12003976,559155372,0.3393
19005182,977358685,0.5371
11323015,587607661,0.32
8899028,443588955,0.2515
6563931,331286319,0.1855
3943516,192992953,0.1115
5558159,279580508,0.1571
15628343,777031965,0.4417
73308926,3410120600,2.0719
42739207,1846184077,1.2079
27845413,1130322849,0.787
19101135,744063320,0.5399
23823549,963411431,0.6733
28105788,1156693836,0.7943
15033198,617630608,0.4249
17420274,731488393,0.4923
13170095,556559317,0.3722
35684126,1435410660,1.0085
12774790,499536355,0.3611
17986055,727514542,0.5083
12271203,487881977,0.3468
22260021,825233252,0.6291
20487662,728441530,0.579
27305721,939993088,0.7717
23167434,774252714,0.6548
23235257,755690014,0.6567
16482947,539342179,0.4659
18443985,604354183,0.5213
30057048,1008474355,0.8495
25593016,884179935,0.7233
33721687,1084888340,0.9531
24985770,767197708,0.7062
36539759,1200624957,1.0327
21902948,728532003,0.619
40000506,1397976225,1.1305
27556771,981216304,0.7788
25054803,882249655,0.7081
41902426,1543919655,1.1843
28278537,1008373024,0.7992
28370432,1042038253,0.8018
25412060,934158773,0.7182
25497424,908449723,0.7206
17786663,606886557,0.5027
16978879,594189375,0.4799
42557017,1427306413,1.2028
34959171,1093953138,0.988
21646087,681823253,0.6118
20380939,628977544,0.576
20842037,628905020,0.5891
42490444,1337972256,1.2009
29316094,925624384,0.8286
37908946,1293308786,1.0714
77580627,2271880881,1.6866
63497716,1881786980,1.3805
44769594,1319092327,0.9733
36268115,1081567783,0.7885
54983740,1731231368,1.1954
53417949,1725122500,1.1613
40983754,1305253149,0.891
58967009,1785242185,1.282
32843819,954431820,0.714
74449284,2107942595,1.6186
49459963,1392573955,0.9868
36292744,1038729909,0.7241
63434824,1894385976,1.2656
43116988,1324529568,0.8602
40614724,1242080466,0.8103
18040105,544743691,0.3599
36274913,1067426211,0.7237
40143140,1121416535,0.8009
31080863,863372984,0.6201
32473185,916403071,0.6479
22683658,618435397,0.4526
18111885,492952890,0.3614
37804717,1071140239,0.7543
20959676,589810926,0.4182
21137465,594271614,0.4217
23349976,660862174,0.4659
26842372,764921509,0.5355
19911465,561039580,0.3973
27881374,800907929,0.5563
24610788,711076253,0.491
33190575,873652847,0.6622
28425492,703161384,0.5671
27786585,670453250,0.5544
18998487,457348814,0.379
18613152,448650527,0.3714
23286930,560911003,0.4646
27646250,687093542,0.5516
19246754,463614267,0.384
51729023,1257703452,1.0321
11772085,281376160,0.2349
15526948,379324073,0.3098
25035653,621071781,0.4995
22390034,552332257,0.4467
26244210,606077512,0.5236
18472630,411929914,0.3686
38737115,796544679,0.7729
26219258,517966095,0.5231
26291089,536161056,0.5245
37865853,795799151,0.7555
41706385,920438574,0.8321
35226321,792203465,0.7028
58263360,1372877887,1.1624
53765317,1275631786,1.0727
40943249,948557928,0.8169
18410458,431101549,0.3673
41441589,928392709,0.8268
28480449,595697953,0.5682
32004881,662589498,0.6385
33610233,701372516,0.6706
31840583,689909450,0.6353
18968272,417880017,0.3784
25190258,561973535,0.5026
50921171,1171495348,1.0159
55869505,1325762372,1.1147
41042219,1006368456,0.8189
24252586,567567698,0.4839
22518269,532131123,0.4493
23735714,542828303,0.4736
31755518,742103372,0.6336
24336859,577669156,0.4856
31230360,738903070,0.6231
22242363,525375954,0.4438
22247557,519157730,0.4439
24786139,552249700,0.4945
43440707,968716081,0.8667
17377705,373700052,0.3467
20557355,430696102,0.4101
21821727,460302926,0.4354
19589117,417388312,0.3908
17297268,357971188,0.3451
16902475,345797870,0.3372
47798296,1047376271,0.9536
29540698,654886472,0.5894
22792952,485019954,0.4548
14376723,308258501,0.2868
16977763,353652740,0.3387
17153342,359830263,0.3422
17199455,366259867,0.3432
24406298,531356368,0.4869
26636160,557665571,0.5314
26208902,527748503,0.5229
31017487,599960470,0.6188
47670259,892459581,0.9511
34750476,630068978,0.6933
23694623,424919145,0.4727
24991864,442632938,0.4986
36524917,634545862,0.7287
53179503,869553443,1.061
37949040,605042649,0.7571
80217572,1154702778,1.6005
87960284,1188762573,1.7549
114503835,1535806190,2.2845
67551229,1030021100,1.3477
226101139,3743878818,4.511
108244332,1720202360,2.1596
79789611,1188978799,1.5919
102548039,1609653901,2.046
57838507,904480754,1.154
65541868,943340472,1.3077
51914370,718672828,1.0358
78182344,1015958893,1.5598
57911745,751821860,1.1554
66631290,814868909,1.3294
102224562,1328693374,2.0395
132525006,1866200121,2.6441
69293082,940906159,1.3825
60807386,807814154,1.2132
48021436,634873402,0.9581
63028765,856340041,1.2575
69950397,977753530,1.3956
43972138,594125921,0.8773
74202931,934170632,1.4805
68911396,850574192,1.3749
56325199,643374453,1.1238
106347914,1239248789,2.1218
99383574,1202704529,1.9828
70945293,875403065,1.4155
58909119,699822836,1.1753
47505635,572852920,0.9478
39329843,470112514,0.7847
98955089,1261514956,1.9743
53609335,654380366,1.0696
79141186,996343032,1.579
133033492,1824368016,2.6542
97718051,1367369463,1.9496
79238582,1120711908,1.5809
119262043,1713709630,2.3794
